,Name,Command
71,ito-tomoyo-2,/Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/78.0.3904.97/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
72,ito-tomoyo-2,/System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
73,ito-tomoyo-2,/Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/78.0.3904.108/XPCServices/AlertNotificationService.xpc/Contents/MacOS/AlertNotificationService
74,ito-tomoyo-2,/Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/78.0.3904.97/Helpers/chrome_crashpad_handler
75,ito-tomoyo-2,/bin/bash
76,ito-tomoyo-2,/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) /Applications/Visual Studio Code.app/Contents/Resources/app/out/bootstrap-fork
77,ito-tomoyo-2,/Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Resources/crashpad_handler
78,ito-tomoyo-2,/System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
79,ito-tomoyo-2,/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU)
80,ito-tomoyo-2,/usr/libexec/gamecontrollerd
81,ito-tomoyo-2,com.docker.backend
82,ito-tomoyo-2,com.docker.driver.amd64-linux
83,ito-tomoyo-2,com.docker.vpnkit
84,ito-tomoyo-2,com.docker.osxfs serve
85,ito-tomoyo-2,/Applications/Docker.app/Contents/MacOS/com.docker.supervisor
86,ito-tomoyo-2,/Applications/Docker.app/Contents/MacOS/Docker
87,ito-tomoyo-2,/System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/atsd
88,ito-tomoyo-2,/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
89,ito-tomoyo-2,/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
90,ito-tomoyo-2,/System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
91,ito-tomoyo-2,/System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
92,ito-tomoyo-2,/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
93,ito-tomoyo-2,/usr/libexec/AssetCache/AssetCache
94,ito-tomoyo-2,/usr/bin/sysdiagnose
95,ito-tomoyo-2,/System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
96,ito-tomoyo-2,/System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
97,ito-tomoyo-2,/usr/libexec/silhouette
98,ito-tomoyo-2,/System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
99,ito-tomoyo-2,/System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
100,ito-tomoyo-2,/System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
101,ito-tomoyo-2,/usr/libexec/seld
102,ito-tomoyo-2,/System/Library/PrivateFrameworks/PassKitCore.framework/passd
103,ito-tomoyo-2,/usr/libexec/studentd
104,ito-tomoyo-2,/usr/libexec/dprivacyd
